id,price,number_of_reviews_ltm,reviews_per_month
11551,$87.00 ,8,1.51
13913,$49.00 ,5,0.17
15400,$75.00 ,3,0.68
17402,$208.00 ,1,0.37
17506,$150.00 ,0,
25123,$29.00 ,7,1.02
33332,$65.00 ,1,0.05
36299,$195.00 ,4,0.64
36660,$72.00 ,19,4.36
36986,$80.00 ,0,0.43
37384,$70.00 ,0,0.45
38151,$65.00 ,0,
38407,$65.00 ,0,1.13
38605,$58.00 ,22,3.06
38610,$243.00 ,7,0.37
38950,$45.00 ,0,
38995,$42.00 ,6,0.89
39387,$42.00 ,2,0.13
40228,$45.00 ,0,
41311,$29.00 ,5,0.69
41445,$112.14 ,1,0.21
41509,$42.00 ,2,0.63
41712,$69.00 ,4,0.79
41870,$37.00 ,0,0.02
42001,$50.00 ,6,1.36
42692,$125.00 ,0,
43129,$38.00 ,8,2.27
43202,$90.00 ,4,1.07
44144,$65.00 ,0,0.4
44237,$55.00 ,2,0.13
44384,$29.00 ,0,0.01
45163,$40.00 ,0,0.02
45168,$125.00 ,4,0.84
46511,$160.00 ,0,
46961,$85.00 ,0,
47192,$35.00 ,12,3.09
47687,$78.00 ,1,0.55
49970,$88.00 ,6,0.73
51830,$121.00 ,6,1.03
53041,$40.00 ,0,0.45
55402,$56.43 ,0,0.08
56229,$78.00 ,0,0.32
56784,$35.00 ,0,
59656,$70.00 ,9,1.67
62747,$43.00 ,29,4.48
62898,$49.00 ,0,
62901,$55.00 ,0,
63864,$96.00 ,1,0.13
63948,$57.00 ,1,0.22
64429,$45.00 ,39,3.82
65638,$75.00 ,3,1.66
65908,$80.00 ,0,
66772,$60.00 ,10,0.45
67025,$133.00 ,24,1.09
67934,$25.00 ,3,0.27
69119,$70.00 ,0,
69198,$36.00 ,3,0.11
70482,$110.00 ,0,
71875,$124.00 ,7,0.7
72059,$80.00 ,6,0.49
72913,$48.00 ,3,1.36
73431,$74.00 ,6,0.76
74107,$60.00 ,0,1.13
75120,$400.00 ,14,1.31
76932,$200.00 ,2,0.34
78606,$42.00 ,2,0.17
78892,$34.00 ,2,0.85
79129,$29.00 ,13,1.46
79216,$60.00 ,0,
79571,$99.00 ,0,0.11
80123,$96.00 ,11,1.2
80441,$95.00 ,9,0.79
81015,$35.00 ,0,
81052,$133.00 ,0,0.11
81080,$130.00 ,0,0.25
81211,$110.00 ,0,0.1
81410,$210.00 ,19,1.88
81449,$129.00 ,4,1.66
81470,$270.00 ,2,0.7
81473,$40.00 ,4,0.54
81635,$101.86 ,4,0.64
81951,$190.00 ,0,
83027,$26.00 ,0,0.02
83308,$120.00 ,0,0.36
84532,$29.00 ,7,1.13
84640,$40.00 ,0,0.22
85191,$58.00 ,15,3.64
85406,$152.00 ,3,0.32
86092,$98.00 ,8,0.89
87514,$99.00 ,2,1.57
87827,$150.00 ,0,
88032,$80.00 ,0,0.4
89094,$50.00 ,0,
89787,$55.00 ,0,0.04
89870,$125.00 ,3,0.78
90358,$187.29 ,0,0.41
90522,$40.00 ,0,0.08
90549,$50.00 ,33,3.54
90681,$58.00 ,4,0.72
92352,$90.00 ,3,0.82
92399,$60.00 ,10,1.9
92644,$42.00 ,4,1.62
93015,$115.00 ,6,0.22
93263,$62.00 ,3,0.25
93500,$45.00 ,0,0.49
94138,$75.00 ,7,1.47
96008,$80.00 ,0,
96052,$46.00 ,3,0.62
96640,$100.00 ,0,
97178,$51.00 ,26,2.62
97506,$35.00 ,2,0.3
97583,$39.00 ,0,0.86
