id,room_type,price,minimum_nights,number_of_reviews_ltm,reviews_per_month,latitude,longitude
36299,Entire home/apt,195,3,10,0.64,51.48085,-0.28086
15400,Entire home/apt,75,3,0,0.6,51.4878,-0.16813
17402,Entire home/apt,307,4,3,0.34,51.52195,-0.14094
36660,Private room,72,2,22,3.93,51.58478,-0.16057
17506,Private room,150,3,0,,51.47935,-0.19743
81211,Entire home/apt,110,14,0,0.08,51.54796,-0.16462
81410,Entire home/apt,400,4,0,1.64,51.52139,-0.13932
24328,Entire home/apt,250,3,0,0.68,51.47119,-0.16256
25123,Private room,29,10,0,0.89,51.57438,-0.21081
31361,Private room,33,1,0,0.81,51.53403,0.02709
33332,Private room,65,2,6,0.09,51.46416,-0.32554
38151,Private room,65,1,0,,51.41844,-0.08729
38605,Private room,62,2,3,2.67,51.50681,-0.23345
38610,Entire home/apt,190,91,0,0.31,51.50701,-0.23362
67851,Entire home/apt,76,7,0,0.32,51.54092,-0.05905
38950,Private room,45,1,1,0.34,51.58684,-0.08632
40228,Private room,45,1,0,,51.58738,-0.08792
41311,Private room,25,10,0,0.6,51.574,-0.21058
81473,Private room,40,2,1,0.47,51.41565,-0.07714
38995,Private room,42,1,0,0.24,51.4786,-0.06114
39387,Private room,42,5,0,0.11,51.52605,-0.19942
67934,Private room,25,5,0,0.23,51.60268,-0.26268
69198,Private room,43,3,1,0.1,51.59031,-0.09408
70482,Entire home/apt,140,5,0,,51.54096,-0.0487
41509,Private room,150,1,0,0.54,51.49351,-0.25568
41712,Private room,79,2,4,0.65,51.50191,-0.10204
41870,Private room,37,2,0,0.02,51.5584,0.00258
42010,Private room,60,2,7,3.7,51.5859,-0.16434
41445,Entire home/apt,350,4,0,0.17,51.61492,-0.25632
72913,Private room,48,2,0,1.17,51.48128,-0.11593
93263,Entire home/apt,95,31,0,0.21,51.4175,-0.19643
42692,Private room,125,1,0,,51.50822,-0.21562
73125,Private room,45,2,5,0.13,51.44563,-0.14195
43129,Private room,40,2,3,1.9,51.48164,-0.21082
93500,Private room,45,2,0,0.4,51.46672,-0.12717
73431,Entire home/apt,120,3,4,0.66,51.46161,-0.11023
43202,Entire home/apt,140,4,3,0.96,51.53031,-0.21713
73884,Entire home/apt,45,1,18,0.63,51.49349,-0.22766
93734,Private room,41,4,5,1.08,51.47618,0.01442
75120,Entire home/apt,414,3,4,1.13,51.49245,-0.20381
93783,Entire home/apt,300,7,0,0.11,51.51881,-0.1965
78606,Private room,70,2,0,0.07,51.57322,0.01045
94138,Entire home/apt,75,2,0,0.88,51.52764,-0.05293
94662,Entire home/apt,120,3,0,0.86,51.44809,-0.04135
44144,Private room,65,3,0,0.33,51.47511,-0.19263
44237,Private room,55,1,1,0.12,51.4743,-0.19204
44384,Private room,24,90,0,0.01,51.5979,-0.24327
78892,Private room,34,3,1,0.67,51.46478,-0.08007
45163,Private room,45,2,1,0.03,51.55237,-0.19954
45168,Entire home/apt,125,3,0,0.73,51.51812,-0.1977
96052,Private room,46,3,0,0.53,51.5593,-0.22497
96640,Private room,100,1,0,,51.57175,-0.08365
97506,Private room,35,2,0,0.26,51.42996,-0.12161
79129,Private room,35,1,2,1.26,51.39648,-0.2117
81635,Private room,102,4,0,0.52,51.52707,-0.10923
46511,Private room,160,4,0,,51.53774,0.01859
79216,Private room,60,2,0,,51.43722,-0.01975
46961,Entire home/apt,85,6,0,,51.48063,-0.18175
79571,Entire home/apt,99,2,0,0.1,51.49096,-0.16183
47192,Private room,39,2,18,2.8,51.52958,-0.14344
81951,Entire home/apt,190,5,0,,51.58388,0.15463
80123,Entire home/apt,100,2,1,1.03,51.45173,-0.15556
84223,Private room,55,1,4,2.77,51.48579,-0.1077
47687,Entire home/apt,78,2,2,0.49,51.4934,-0.22929
49970,Hotel room,49,1,12,0.72,51.49462,-0.22923
51830,Entire home/apt,121,2,0,0.89,51.51757,-0.19195
80441,Entire home/apt,95,20,0,0.67,51.49297,-0.1216
81015,Private room,35,1,0,,51.39911,-0.10453
84532,Private room,33,2,8,1,51.57765,-0.06197
81052,Entire home/apt,133,6,0,0.09,51.53917,-0.10221
55402,Entire home/apt,56,14,0,0.05,51.37487,-0.11565
81080,Entire home/apt,170,3,1,0.18,51.40644,-0.33563
55706,Entire home/apt,280,28,0,0.67,51.49506,-0.1563
100479,Private room,55,1,0,0.05,51.52819,-0.0561
56229,Entire home/apt,45,5,7,0.35,51.49547,-0.22942
56784,Private room,35,1,0,,51.39915,-0.10447
62747,Private room,43,2,0,2.4,51.52315,-0.05755
85191,Private room,60,2,16,3.25,51.49168,-0.1157
85406,Entire home/apt,151,10,0,0.27,51.51853,-0.18351
172807,Entire home/apt,203,3,0,0.13,51.51789,-0.158
86092,Entire home/apt,130,3,19,0.92,51.48606,-0.19752
63864,Entire home/apt,206,4,1,0.12,51.50143,-0.02024
63948,Entire home/apt,57,3,10,0.28,51.49547,-0.22864
102391,Entire home/apt,250,2,0,0.21,51.54713,-0.05522
65638,Entire home/apt,85,6,8,1.5,51.48642,-0.09557
65908,Private room,80,2,0,,51.45932,-0.11874
66772,Private room,50,1,13,0.5,51.4937,-0.22914
87514,Entire home/apt,129,3,4,1.38,51.52479,-0.11648
102565,Private room,95,5,3,2.58,51.50551,-0.10952
103682,Private room,68,3,0,0.56,51.5347,-0.03215
87827,Private room,150,30,0,,51.5107,-0.18997
172811,Entire home/apt,229,21,0,,51.5471,-0.17981
103865,Private room,81,3,0,,51.4866,-0.22458
88032,Private room,80,2,0,0.34,51.44614,-0.20566
106332,Private room,55,3,0,0.5,51.52874,-0.05396
89094,Shared room,50,4,0,,51.48055,0.07261
174132,Private room,70,1,10,1.49,51.52636,-0.18801
107048,Entire home/apt,126,4,0,3.58,51.52478,-0.10484
175892,Entire home/apt,212,7,8,1.48,51.52948,-0.08591
89787,Entire home/apt,55,2,0,0.03,51.44742,-0.43175
107051,Entire home/apt,204,2,59,4.19,51.52055,-0.18317
90358,Entire home/apt,286,3,0,0.35,51.49875,-0.19263
90549,Private room,47,2,0,2.3,51.49764,-0.01365
90700,Entire home/apt,100,2,38,2.96,51.51109,-0.19842
116268,Private room,25,5,5,0.27,51.61137,-0.11888
90962,Private room,65,14,0,0.04,51.48821,-0.22452
178519,Entire home/apt,150,3,0,0.16,51.53753,-0.24013
117203,Entire home/apt,138,4,8,0.53,51.50155,-0.233
91287,Entire home/apt,185,7,1,0.32,51.54026,-0.11712
92399,Entire home/apt,85,4,23,1.82,51.55104,-0.08324
123522,Entire home/apt,99,2,0,0.11,51.52359,-0.19587
92644,Private room,42,1,0,1.39,51.44201,-0.18739
93015,Entire home/apt,100,3,7,0.26,51.49993,-0.21707
179312,Entire home/apt,45,2,0,0.12,51.55191,-0.11497
