id,property_type_2020,price_2020,number_of_reviews_ltm_2020,reviews_per_month_2020,room_type_2022,price_2022,latitude,longitude,minimum_nights,reviews_per_month_2022
15400.0,Entire apartment,$75.00,3.0,0.68,Entire home/apt,75,51.4878,-0.16813,3,0.6
17402.0,Entire apartment,$208.00,1.0,0.37,Entire home/apt,307,51.52195,-0.14094,4,0.34
17506.0,Private room in bed and breakfast,$150.00,0.0,,Private room,150,51.47935,-0.19743,3,
25123.0,Private room in house,$29.00,7.0,1.02,Private room,29,51.57438,-0.21081,10,0.89
33332.0,Private room in house,$65.00,1.0,0.05,Private room,65,51.46416,-0.32554,2,0.09
36299.0,Entire townhouse,$195.00,4.0,0.64,Entire home/apt,195,51.48085,-0.28086,3,0.64
36660.0,Private room in house,$72.00,19.0,4.36,Private room,72,51.58478,-0.16057,2,3.93
38151.0,Private room in apartment,$65.00,0.0,,Private room,65,51.41844,-0.08729,1,
38605.0,Private room in townhouse,$58.00,22.0,3.06,Private room,62,51.50681,-0.23345,2,2.67
38610.0,Entire townhouse,$243.00,7.0,0.37,Entire home/apt,190,51.50701,-0.23362,91,0.31
38950.0,Private room in house,$45.00,0.0,,Private room,45,51.58684,-0.08632,1,0.34
38995.0,Private room in apartment,$42.00,6.0,0.89,Private room,42,51.4786,-0.06114,1,0.24
39387.0,Private room in apartment,$42.00,2.0,0.13,Private room,42,51.52605,-0.19942,5,0.11
40228.0,Private room in townhouse,$45.00,0.0,,Private room,45,51.58738,-0.08792,1,
41311.0,Private room in house,$29.00,5.0,0.69,Private room,25,51.574,-0.21058,10,0.6
41445.0,Entire apartment,$112.14,1.0,0.21,Entire home/apt,350,51.61492,-0.25632,4,0.17
41509.0,Private room in apartment,$42.00,2.0,0.63,Private room,150,51.49351,-0.25568,1,0.54
41712.0,Private room in apartment,$69.00,4.0,0.79,Private room,79,51.50191,-0.10204,2,0.65
41870.0,Private room in house,$37.00,0.0,0.02,Private room,37,51.5584,0.00258,2,0.02
42692.0,Private room in apartment,$125.00,0.0,,Private room,125,51.50822,-0.21562,1,
43129.0,Private room in townhouse,$38.00,8.0,2.27,Private room,40,51.48164,-0.21082,2,1.9
