Provider_Product_ID,Attraction,Region,County  ,District,CRU,Category,Visitors 2016,Visitors 2017,Visitors 2018,Visitors 2019,Visitors 2020,Visitors 2021,Estimate?,Visitor Admission bracket,% change in admissions 2020 to 2021,% change in admissions 2019 to 2021,Charging,Charge band,Longitude,Latitude
967567,"Royal Botanic Gardens, Kew Gardens",London,Greater London,Richmond,Urban,Garden,1828956,1802958,1858513,2316699,1222956," 1,963,171 ",Exact,"Over 200,000",61%,-15%,Yes,£15.00 and over,-0.295909,51.479362
131788,Natural History Museum,London,Greater London,London,Urban,Museum and/ or Art Gallery,4624113,4434520,5226320,5423932,1296763," 1,571,413 ",Not available,"Over 200,000",21%,-71%,No,,-0.176389,51.496111
131190,British Museum,London,Greater London,London,Urban,Museum and/ or Art Gallery,6420395,5906716,5828552,6239983,1275466," 1,327,120 ",Not available,"Over 200,000",4%,-79%,No,,-0.126944,51.519444
169772,Tate Modern,London,Greater London,London,Urban,Museum and/ or Art Gallery,5839197,5656004,5868562,6098340,1431704," 1,156,037 ",Not available,"Over 200,000",-19%,-81%,No,,-0.0994,51.5076
AUR1700017,Somerset House,London,Greater London,London,Urban,Historic House/ House and Garden / Palace,3443220,3223350,3143626,2841772,724310," 984,978 ",Exact,"Over 200,000",36%,-65%,No,,-0.117194,51.511028
169771,Science Museum,London,Greater London,Bradford,Urban,Museum and/ or Art Gallery,3245750,3251634,3174963,3301975,861795," 957,223 ",Exact,"Over 200,000",11%,-71%,No,,-0.174722,51.4975
132050,Victoria and Albert Museum,London,Greater London,London,Urban,Museum and/ or Art Gallery,3022086,3789748,3967566,3992198,872750," 857,742 ",Not available,"Over 200,000",-2%,-79%,No,,-0.171944,51.496389
857793,ZSL London Zoo,London,Greater London,London,Urban,Safari Park / Zoo / Aquarium / Aviary,1211279,1102790,1133952,1157076,504351," 742,359 ",Exact,"Over 200,000",47%,-36%,Yes,£15.00 and over,-0.155833,51.535556
131781,National Gallery,London,Greater London,London,Urban,Museum and/ or Art Gallery,6262839,5229192,5735831,6011007,1197143," 708,924 ",Not available,"Over 200,000",-41%,-88%,No,,-0.128056,51.508056
131545,The Horniman Public Museum & Public Park Trust,London,Greater London,London,Urban,Museum and/ or Art Gallery,791507,942971,926849,952954,606329," 653,200 ",Exact,"Over 200,000",8%,-31%,No,,-0.06127,51.44109
8601154,Tower of London,London,Greater London,London,Urban,Castle / Fort,2741126,2842970,2855438,2984499,447812," 525,569 ",Exact,"Over 200,000",17%,-82%,Yes,£15.00 and over,-0.076111,51.508056
